Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/benchmark/compare,69,0,38,104.0015623152283,12.10619998164475,552.3691999842413,722.0,3.7958040430739137,0.0,38,72,99,130,440,490,540,550,550,550,550
GET,/api/sessions,243,0,40,112.76435514494256,9.896700037643313,765.9891999792308,7981.0,13.367831629955958,0.0,40,78,100,140,370,490,590,660,770,770,770
GET,/api/sessions/[id]/chain,132,0,370.0,499.18936136060495,212.84519997425377,1412.3889000038616,209.0,7.261538169358792,0.0,380,490,660,780,950,1100,1200,1300,1400,1400,1400
GET,/api/sessions/[id]/trace,240,0,76,166.06207083265568,24.8641999787651,916.9280999922194,1154.0,13.202796671561439,0.0,77,130,160,240,500,680,800,860,920,920,920
,Aggregated,684,0,82,205.15458888802488,9.896700037643313,1412.3889000038616,3353.434210526316,37.6279705139501,0.0,82,220,320,370,550,770,950,1100,1400,1400,1400
