Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/benchmark/compare,101,5,390.0,613.8807128714905,11.165999982040375,2368.370899988804,687.2970297029703,5.39337251482483,0.26699863934776386,390,660,800,960,1200,2100,2300,2300,2400,2400,2400
GET,/api/sessions,328,14,470.0,630.67725518411,12.853199965320528,2374.275900016073,7641.243902439024,17.51511074121331,0.7475961901737388,470,730,850,910,1200,2000,2300,2300,2400,2400,2400
GET,/api/sessions/[id]/chain,185,49,940.0,1235.8575670259402,62.68240005010739,3905.5244000046514,159.2054054054054,9.878949655867263,2.616586665608086,940,1400,1700,2100,2600,3000,3700,3800,3900,3900,3900
GET,/api/sessions/[id]/trace,334,23,500.0,688.9915751508705,30.026899999938905,2476.259399962146,1075.9790419161677,17.835509108430628,1.228193740999714,500,800,950,1100,1400,2100,2300,2400,2500,2500,2500
,Aggregated,948,91,610.0,767.5326241567492,11.165999982040375,3905.5244000046514,3127.1888185654007,50.62294202033603,4.859375236129303,610,830,1000,1100,1800,2300,2600,3000,3900,3900,3900
