Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/benchmark/compare,14,0,14,164.85894285973959,12.03049998730421,2086.8782000034116,722.0,0.8702891672843662,0.0,15,19,19,19,38,2100,2100,2100,2100,2100,2100
GET,/api/sessions,52,0,17,375.1930942291018,12.355299957562238,3291.304600017611,7981.0,3.232502621341932,0.0,17,18,19,20,2900,3200,3200,3300,3300,3300,3300
GET,/api/sessions/[id]/chain,15,0,250.0,278.38764666812494,193.15439998172224,423.31370001193136,209.0,0.9324526792332495,0.0,250,270,330,400,410,420,420,420,420,420,420
GET,/api/sessions/[id]/trace,45,0,38,48.276635559482706,27.721899969037622,144.30990000255406,1154.0,2.7973580376997487,0.0,38,40,44,49,100,120,140,140,140,140,140
,Aggregated,126,0,33,223.54229682657336,12.03049998730421,3291.304600017611,3810.9920634920636,7.832602505559296,0.0,33,39,49,120,270,2100,3200,3200,3300,3300,3300
